POTUS, 1789 George Washington, 1797 John Adams, 1801 Thomas Jefferson, 1809 James Madison, 1817 James Monroe, 1825 John Quincy Adams, 1829 Andrew Jackson, 1837 Martin van Buren, 1841 William Henry Harrison, 1845 James K. Polk, 1849 Zachary Taylor, 1853 Franklin Pierce, 1857 James Buchanan, 1861 Abraham Lincoln, 1869 Ulysses S. Grant, 1877 Rutherford B. Hayes, 1881 James A. Garfield, 1885 Grover Cleveland, 1889 Benjamin Harrison, 1893 Grover Cleveland, 1897 William McKinley, 1901 Theodore Roosevelt, 1909 William Howard Taft, 1913 Woodrow Wilson, 1921 Warren G. Harding, 1923 Calvin Coolidge, 1929 Herbert Hoover, 1933 Franklin D. Roosevelt, 1945 Harry S. Truman, 1953 Dwight D. Eisenhower, 1961 John F. Kennedy, 1969 Richard Nixon, 1977 Jimmy Carter, 1981 Ronald Reagan, 1993 William J. Clinton, 2001 George W. Bush, 2009 Barack Obama, 2017 Donald J. Trump
under, 0, 6, 0, 0, 7, 6, 0, 0, 17, 0, 0, 8, 8, 0, 6, 0, 6, 0, 0, 0, 0, 0, 7, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
his, 0, 8, 0, 0, 7, 6, 0, 11, 30, 9, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
do, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 10, 14, 0, 0, 0, 0, 7, 6, 0, 13, 8, 9, 8, 0
new, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 10, 6, 6, 0, 8, 0, 7, 8, 9, 0, 9, 0, 6, 6
america, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 6, 0, 0, 0, 0, 0, 0, 6, 15, 8, 6, 19
nations, 0, 11, 0, 0, 0, 7, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 6, 0, 22, 7, 0, 0, 0, 0, 0, 0, 0, 0
free, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 0, 0, 9, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 21, 0, 0, 0, 0, 0, 0, 0, 0
were, 0, 0, 0, 0, 18, 0, 0, 14, 11, 7, 0, 8, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
when, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 0, 0, 0, 0, 7, 7, 0, 0, 10, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 7, 0
now, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 6, 9, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 9, 0, 6, 0, 0, 0, 6
congress, 0, 6, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 9, 0, 0, 0, 9, 0, 8, 0, 9, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
